"PERSON";"REG_ADDR_KOATUU";"OPER_CODE";"OPER_NAME";"D_REG";"DEP_CODE";"DEP";"BRAND";"MODEL";"VIN";"MAKE_YEAR";"COLOR";"KIND";"BODY";"PURPOSE";"FUEL";"CAPACITY";"OWN_WEIGHT";"TOTAL_WEIGHT";"N_REG_NEW"
"P";"1225284101";"308";"ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ)";21.12.2022;12537;"ТСЦ 1248";"KIA";"SOUL";"KNAJT811AC7443261";2012;"КОРИЧНЕВИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1591;1217;1690;"АЕ7265ХА"
"P";"3220880905";"254";"НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ";07.09.2022;10000;"OLD_ДДАІ МВС УКРАЇНИ";"NISSAN";"QASHQAI";"SJNFBNJ10U2471634";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1997;1310;1960;"АІ1954ЕМ"
"P";"5610700000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";09.12.2022;12286;"ТСЦ 3247";"VOLKSWAGEN";"GOLF";"WVWZZZ1KZCW268678";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН";1390;1020;1850;"АІ2805ОН"
"P";"8036600000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";02.07.2022;12294;"ТСЦ 8045";"RENAULT";"FLUENCE";"VF1LZBB0647079727";2012;"СІРИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"ДИЗЕЛЬНЕ ПАЛИВО";1461;1280;1680;"КА1560ІЕ"
"P";"5610100000";"410";"ПЕРЕРЕЄСТРАЦІЯ ПРИ ЗАМІНІ НОМЕРНОГО ЗНАКУ";13.09.2022;12337;"ТСЦ 5641";"NISSAN";"TIIDA";"3N1FCAC11UK561776";2012;"ЧОРНИЙ";"ЛЕГКОВИЙ";"ХЕТЧБЕК";"ЗАГАЛЬНИЙ";"БЕНЗИН";1598;1268;1715;"ВК2037ІВ"
"P";"6823987705";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";02.09.2022;12375;"ТСЦ 6845";"ВАЗ";"2107";"XTA21070062333807";2006;"ЧЕРВОНИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1451;1110;1460;"ВХ4979НІ"
"P";"8036400000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";19.01.2022;13960;"ТСЦ 8048";"TOYOTA";"LAND CRUISER PRADO 150";"JTEBX3FJ20K086739";2012;"ЧОРНИЙ";"ЛЕГКОВИЙ";"УНІВЕРСАЛ";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";2694;2020;2600;"КА0991НА"
"P";"5123755300";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";08.11.2022;12322;"ТСЦ 5142";"HONDA";"CIVIC";"NLAFB8660CW002716";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН";1798;920;1700;"ВН3587РТ"
"P";"1211000000";"315";"ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ";10.07.2022;12295;"ТСЦ 8046";"MITSUBISHI";"LANCER";"JMBSTCY4ABU000242";2011;"СІРИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1998;1335;1850;"КА7050НІ"
"P";"1414100000";"440";"ПЕРЕРЕЄСТРАЦIЯ ПРИ ВТРАТІ СВIДОЦТВА ПРО РЕЄСТРАЦIЮ";14.04.2022;12294;"ТСЦ 8045";"KIA";"CERATO";"KNAFW411BC5611891";2012;"БІЛИЙ";"ЛЕГКОВИЙ";"СЕДАН";"ЗАГАЛЬНИЙ";"БЕНЗИН АБО ГАЗ";1591;1271;1680;"АН5608КІ"
